question,image,choice1,choice2,choice3,choice4,bloque
¿Cuál NO se corresponde con la corriente alterna?,,Solemos manejar voltajes menores que con la corriente continua,Cambia continuamente de sentido,"La podemos obtener de la red, es decir, en los enchufes",Podemos obtenerla a partir de corriente continua gracias a un adaptador,electricidad
¿Cuál NO se corresponde con la corriente continua?,,Solemos manejar grandes voltajes con ella,Siempre tiene el mismo sentido,Es la que nos dan las pilas y baterías,La podemos obtener de la red gracias a los adaptadores de corriente,electricidad
¿Qué nos indica el Voltaje de un generador?,,La energía que nos puede proporcionar cada unidad de carga,La oposición que este ejercerá frente al corriente que lo atraviesa,Que cantidad de electrones nos dará en una unidad de tiempo,La energía que nos proporcionará ese generador por unidad de tiempo,electricidad
¿Qué nos indica el voltaje de una pila?,,La energía que nos podrá proporcionar cada unidad de carga de esa pila,La cantidad de electrones por segundo que podrán salir de esa pila,La potencia eléctrica que desarrollará esa pila en un circuito eléctrico,"La cantidad de electrones que hay almacenados en esa pila, es decir, su carga.",electricidad
¿Cuál frase estaría bien expresada?,,"Por favor, mide la intensidad que pasa por ese cable","Por favor, mide el voltaje que pasa por ese cable","Por favor, mide la resistencia que pasa por ese cable","Por favor, mide la potencia que pasa por ese cable",electricidad
¿Qué es la Intensidad de una corriente?,,La cantidad de electrones que pasan por un punto en un tiempo determinado,La energía de esa corriente,La oposición que presenta un material a ser atravesado por los electrones,La energía producida por los electrones al atravesar un componente determinado,electricidad
"Sí por un circuito pasan 5 000 000  electrones en 1 segundo, ¿qué  intensidad estará pasando?",,Mucho menos de un  amperio,Muchísimos  amperios,Pocos  amperios,Un  amperio,electricidad
"Si por un circuito pasa un  amperio, cuantos electrones estarán circulando por él?",,Trillones cada segundo,Miles,Millones,Trillones,electricidad
¿Qué es la Resistencia de un elemento?,,La oposición que presenta un cuerpo a ser atravesado por los electrones,Un indicador de la facilidad con la que la corriente atraviesa un cuerpo,La cantidad de calor que genera un componente al ser atravesado por la corriente eléctrica,La energía eléctrica que pierde un componente en un circuito al ser atravesado por una corriente,electricidad
¿Cuál de estas es una expresión CORRECTA de la Ley de  Ohm?,,R=V/I,R=I/V,R=V·I,R.V=I,electricidad
¿Cuál de las siguientes sería una expresión incorrecta de la ley de  Ohm?,,R=I.V,I=V/ R,I. R=V,R=V/I,electricidad
Tienes un circuito conectado a un voltaje de 20V por el que ves que pasa una corriente de 10A. ¿Cuál es la resistencia que tiene ese circuito?,,2Ω,200Ω,"0,5Ω",1Ω,electricidad
Conecto una resistencia de 100Ω en un circuito con una pila de 9V. ¿Qué intensidad circula?,,"0,09A",900A,"0,9A","11,11A",electricidad
Tienes un circuito con una resistencia de 4Ω conectado a una pila de 8V. ¿Qué intensidad circulará?,,2A,32A,"0,5A",12A,electricidad
Compruebo que la intensidad que circula por un circuito es de 2 La y veo que está alimentado a 6V. Que resistencia hay en el circuito?,,3Ω,12Ω,"0,33Ω",2/6Ω,electricidad
Tienes un circuito de resistencia de 3Ω por el que pasa una intensidad de 9A. A que voltaje estará conectado ese circuito?,,27V,"0,33V",3V,12V,electricidad
"En un circuito con una resistencia de 100Ω compruebo que la intensidad es de 0,5A. ¿Cuál es el voltaje?",,50V,200V,5V,"0,005V",electricidad
"Tienes un circuito con un voltaje determinado conectado a una resistencia. Sustituyes esa resistencia por una de mayor valor, ¿qué va a pasar en el circuito?",,"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, será menor","La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, aumentará",La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo no se verá afectada,La intensidad que pasa por la resistencia será mayor,electricidad
"Tienes un circuito con un voltaje determinado conectado a una resistencia. Sustituyes esa resistencia por una de menor valor, ¿qué va a pasar?",,"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, aumentará","La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, disminuirá",La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo no se verá afectada,La intensidad que pasa por la resistencia será más pequeña,electricidad
"Estás midiendo la intensidad que pasa por una resistencia que no varía.  En un momento determinado, observas que el valor de la intensidad reduce a la mitad. Que habrá pasado?",,"El voltaje del circuito se redujo, también, a la mitad",El voltaje del circuito se duplicó,No se puede saber sin conocer el voltaje a la que está conectado el circuito,La cantidad de electrones que pasan por el circuito está aumentando por algún motivo,electricidad
"Estás midiendo la intensidad que pasa por una resistencia que no varía.  En un momento determinado, observas que el valor de la intensidad se duplica. Que habrá pasado?",,El voltaje del circuito se duplicó también,El voltaje del circuito se redujo la mitad,No se puede saber sin conocer el voltaje a la que está conectado el circuito,La cantidad de electrones que pasan por el circuito está reduciéndose por algún motivo,electricidad
¿Qué potencia eléctrica generará un componente que funcione a 3V y 2A?,,6W,5W,"1,5W","0,67W",electricidad
"¿Qué calor nos dará un circuito durante 10 segundos, si el voltaje es de 9 V y la intensidad de 2A?",,180J,"1,8J",45J,"4,5J",electricidad
Un circuito que consume una potencia de 10  W funciona durante 5 segundos. ¿Qué energía consumió en ese tiempo?,,50J,2J,10J,"0,5J",electricidad
¿Cuál es la carga de un átomo en su estado natural?,,neutra,positiva,negativa,depende del átomo,electricidad
¿Cuál es la unidad elemental de Voltaje?,,El  Voltio (V),El  Ohmnio (Ω),El  Amperio (A),El Vatio ( W),electricidad
¿Cuál de ellas NO corresponde a un circuito eléctrico?,,Se produce siempre que hay una corriente eléctrica.,Siempre tiene que haber un elemento que suministre energía eléctrica.,Siempre produce calor.,Siempre habrá alguna transformación de energía.,circuitos
¿Cuáles son los tipos de elementos que puedo encontrar en un circuito eléctrico?,,"Generadores, conductores, receptores y elementos de control","Generadores, conductores, aparatos eléctricos y elementos de control","Generadores, cables,  interruptores y  conmutadores","Pilas, cables, resistencias y  interruptores",circuitos
"Si juntamos dos pilas de 1,5V de este modo... ¿cuál será el voltaje total?",images/duasPilasSerie. png,3V,"1,5V","0,75V","1,33V",circuitos
Si juntamos dos resistencias de 4Ω de este modo... ¿cuál será su resistencia equivalente?,images/2ResisParalelo. png,2Ω,4Ω,8Ω,3Ω,circuitos
¿Cómo se llaman los elementos de un circuito que suministran los electrones?,,Generadores,Receptores,Conductores,Elementos de control,circuitos
¿Cómo se llaman los elementos de un circuito que transforman la electricidad en otro tipo de energía?,,Receptores,Generadores,Transformadores,Elementos de control,circuitos
¿Cómo se llaman los elementos de un circuito que permiten el paso de la corriente entre un componente y otro?,,Conductores,Generadores,Elementos de control,Receptores,circuitos
¿Cómo se llaman los elementos de un circuito que nos permiten hacer que la corriente circule por donde nosotros queremos?,,Elementos de control,Generadores,Conductores,Receptores,circuitos
¿Cuál no es un generador?,,Motor,Pila,Batería,Toma de red,circuitos
¿Cuál consideramos un conductor?,,Cable,Interruptor,Pulsador,Aluminio,circuitos
¿Cuál no sería un receptor?,,Pila,Motor,Lámpara,Resistencia,circuitos
¿Cuál no es un elemento de control?,,Cable,Interruptor,Pulsador,Conmutador,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/pilaSimbolo.png,Batería,Generador de corriente alterna,Motor,Toma de tierra,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/xeradorAC.png,Generador de corriente alterna,Batería o pila,Lámpara,Motor eléctrico,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/pulsadorSimbolo.png,pulsador,interruptor,conmutador,pila,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/interruptorSimbolo.png,interruptor,conmutador,pulsador,botón,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/conmutadorSimbolo.png,conmutador,interruptor,pulsador,fusible,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/resistenciaSimbolo.png,resistencia,pila,lámpara,interruptor,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/resistenciaSimbolo2.png,resistencia,lámpara,pila,interruptor,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/ledSimbolo.png,LED,lámpara,Altavoz,Motor,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/lampadaSimbolo.png,Lámpara,LED,Motor,Patrulla X,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/zoadorSimbolo.png,zoador,altavoz,motor,Generador Alterna,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/altofalanteSimbolo.png,altavoz,zumbador,generador alterna,Generador de continua,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/motorSimbolo.png,motor,zumbador,watímetro,lámpara,circuitos
¿A qué componente se corresponde el símbolo de la figura?,images/terraSimbolo.png,tierra,pila,antena,receptor,circuitos
¿Cómo están conectadas las resistencias de la figura?,images/3ResisSerie.png,Serie,Línea,Paralelo,Mixto,circuitos
¿Cómo están conectadas las resistencias de la figura?,images/3ResisParalelo.png,Paralelo,lateral,Serie,mixto,circuitos
¿Cómo están conectadas las resistencias de la figura?,images/3ResisMixto.png,Mixto,Paralelo,Serie,compuesto,circuitos
¿Cuál será el voltaje total de las pilas?,images/3PilasSerie.png,6V,2V,2/3V,8V,circuitos
¿Cuál será el voltaje total de las pilas?,images/3PilasParalelo.png,2V,6V,2/3V,8V,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/3ResisSerie223.png,7Ω,12Ω,6/8Ω,8/6Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/3ResisParalelo666.png,2Ω,18Ω,"0,5Ω",3/6Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/3ResisParalelo422.png,4/5Ω,5/4Ω,3/8Ω,8/3Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/2ResisParalelo36.png,2Ω,"0,5Ω",9Ω,3Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/3ResisMixto422.png,5Ω,8Ω,4Ω,6Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/3ResisMixto436.png,6Ω,13Ω,"4,5Ω",3Ω,circuitos
¿Cuál será el valor de la resistencia equivalente?,images/4ResisMixto4466.png,5Ω,20Ω,"1,2Ω",5Ω,circuitos
¿Qué diferencias de funcionamento habrá entre el circuito 1 y 2?,images/2circSimples.png,Ninguna,"En el circuito 2, el led enciende aunque no cerremos el interruptor","Los dos leds encienden al presionar el interruptor, pero el 2 un instante antes","Los dos leds encienden al presionar el interruptor, pero el 1 un instante antes",circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/2receptoresSerie.png,El led -a- encenderá un instante antes que el -b-,La intensidad que circula por los dos leds es la misma,Los dos leds encenderán al presionar el interruptor,"Si el led -b- se quema, el -a- no podrá encender",circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/2resisSerie.png,Las dos resistencias están sometidas al mismo voltaje,"Si el interruptor cierra, pasará intensidad por las dos resistencias",Por las dos resistencias pasará siempre la misma intensidad,Si desconecto la resistencia - b- no pasará corriente por el circuito,circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/2resisParalelo.png,La intensidad que pasa por las dos resistencias es la misma,Las dos resistencias están sometidas al mismo voltaje,"Si desconecto la resistencia -a-, seguirá pasando corriente por la - b-",La intensidad total del circuito será la suma de la intensidad por -a- y la intensidad por - b-,circuitos
¿Por cuál resistencia pasará más intensidad?,images/3resisParalelo.png,Por la -a-,Por la -b-,Por la -c-,Por todas pasará la misma,circuitos
¿Que pasará en este circuíto si conecto la resistencia -c- ?,images/3resisParaleloQue.png,La intensidad total aumentará respecto a cuando había dos,El voltaje al que están sometidas a las resistencias disminuirá respecto a cuando había dos,El voltaje al que están sometidas las resistencias aumentará respecto a cuando había dos,La intensidad total disminuirá respecto a cuando había dos,circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/2IntSerie.png,"Si cerramos uno u otro interruptor, pasará corriente por la resistencia","Si cerramos uno y otro interruptor, pasará corriente por la resistencia","Si cerramos los dos interruptores, pasará corriente por la resistencia",Solo pasará corriente por la resistencia si cerramos todos los interruptores,circuitos
¿Para qué podrías emplear el circuito de la figura?,images/2IntSerieMotor.png,Una motosierra que actúa solo cuando presiono dos interruptores,Un ventilador que se enciende desde dos puntos distintos,Una alarma que se enciende desde cualquiera de los dos interruptores,Un taladro que puede ser accionado con un interruptor o con otro,circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/2IntParalelo.png,La corriente pasará cerrando uno y otro interruptor,"Si cerramos uno u otro interruptor, pasará corriente por la resistencia","Para que pase la corriente, podemos cerrar cualquiera de los dos interruptores",La corriente pasa siempre que haya por lo menos un interruptor cerrado,circuitos
"¿Cuál es falsa, para el circuito de la figura?",images/ledCurtocircuito.png,El led -a- encenderá,El led -a- está cortocircuitado,La intensidad no pasará por el led -a- porque tiene un camino alternativo sin resistencia,El led - b- encenderá,circuitos
¿Cuál es verdadera para el circuito de la figura?,images/2IntSerieTricky.png,Solo pasará corriente por la resistencia con 1 y 2 cerrados,Si cierro el interruptor 1 pasará corriente por la resistencia,Se cierro el interruptor 2 pasará corriente por la resistencia,"Si cierro cualquiera de los dos interruptores, pasará corriente",circuitos
¿Cuándo pasará corriente por la resistencia?,images/2IntMixtoTricky.png,Solo si 2 está cerrado y 1 abierto,Si cerramos 1 y 2,"Cerrando el 2, independientemente de cómo esté 1",Cerrando el 2 o el 1,circuitos
